Date,Description,Amount
31/10/2026,TFL TRAVEL CH,-4.30
30/10/2026,PRET A MANGER,-5.45
29/10/2026,TESCO STORES 0112,-27.84
28/10/2026,UBER *TRIP,-14.20
27/10/2026,WATERSTONES,-12.99
25/10/2026,KINGS COLLEGE LONDON SALARY,"1,250.00"
24/10/2026,SPOTIFY,-11.99
23/10/2026,TFL TRAVEL CH,-6.80
22/10/2026,NANDOS,-16.50
21/10/2026,SAINSBURYS S/MKTS,-19.36
19/10/2026,TRANSFER TO SAVINGS,-150.00
17/10/2026,DELIVEROO,-21.10
16/10/2026,THREE MOBILE,-10.00
15/10/2026,TFL TRAVEL CH,-7.20
13/10/2026,COSTA COFFEE,-3.95
13/10/2026,COSTA COFFEE,-3.95
12/10/2026,RENT SO JONES,-650.00
10/10/2026,TESCO STORES 2345,-34.60
08/10/2026,"ASOS.COM, LONDON",-42.00
06/10/2026,TFL TRAVEL CH,-5.60
04/10/2026,"ASOS.COM, REFUND",42.00
02/10/2026,GYM GROUP,-24.99
01/10/2026,NETFLIX,-5.99
